sleeper_id,fantasypros_id
4984,17298
4881,17233
7564,19788
9509,23133
11566,22902
6794,19236
6770,19196
9221,22968
4866,17240
6904,19275
6786,19202
12527,0
11604,22955
11632,25409
7547,19799
4034,16393
9493,23180
3198,15514
4046,16413
11631,23000
7569,20130
9226,23136
8130,22936
8112,23163
11584,25981
5850,18269
6813,19217
5859,18218
11635,26122
11563,22910
4892,17237
8150,23059
9224,25324
11628,23064
4217,16499
9488,23070
8155,22982
8146,23072
12507,0
8138,22958
6801,19211
6797,18635
3321,15802
4035,16421
5849,18600
5927,18466
2216,12119
10859,22978
10229,23113
8151,23021
8183,19797
11560,23084
7594,19792
3163,15501
2133,12123
11564,23046
12529,0
9758,23071
12526,0
4983,17265
3294,15600
4137,16447
5846,18219
7525,19222
11624,23019
12489,0
12530,0
5844,18290
6804,19246
5045,17253
1466,11594
4018,16420
7591,19781
9997,22916
5892,18239
11565,23018
8148,23677
8137,22963
7523,19780
12512,0
8205,24333
6790,19210
11620,25411
12504,0
7526,19790
4199,16673
5012,17269
5967,18705
8144,20111
4981,17258
12518,0
6783,19201
11559,22973
9756,23107
4066,16411
8154,20094
12522,0
9228,22900
11638,26214
7543,19231
5947,18598
4033,16399
12501,0
11655,22980
6768,19198
5872,18244
421,9451
4037,16406
8228,24209
12517,0
7049,19590
8134,23748
1373,11687
4039,16433
2449,13981
9484,25298
10236,25247
10222,23020
4943,17236
9753,23152
12514,0
12481,0
8408,22969
4144,16460
7588,22739
7553,20164
9500,24706
8110,22718
12484,0
6806,19245
6803,19252
6819,19278
7611,22726
11637,26019
7528,19302
5022,17270
8136,23891
1339,11689
11589,25388
8131,23781
96,9001
4988,17246
4663,16483
8676,24687
9494,23080
9229,24347
7090,19810
1234,11180
9508,25323
9225,22908
12519,0
12509,0
12533,0
12490,0
12457,0
3214,15561
7571,19794
4950,17268
12547,0
11575,26191
11576,24346
9480,25345
11651,26392
8132,24172
1479,11616
5870,18232
1689,13429
12508,0
12469,0
8143,22921
5848,18226
10444,25287
7600,20163
19,9300
7670,22845
8210,23982
8111,23181
8126,22985
4993,17272
11626,26136
12545,0
12483,0
12498,0
11643,25987
9501,25304
7021,19647
11618,23179
4098,16425
10235,25322
11586,23013
12524,0
12495,0
PHI,0
2505,14104
8121,23794
5001,17349
9754,23123
